Dino ID,Slot,Ability Name,Description,Damage,Stamina Cost,Cooldown
bars,Hide,Thick Skin,"Gain 25% increased knockback resistance. While in bipedal stance, gain 25% increased attack damage.",0.25,800,-
bars,Hide,Die Hard,"Gain up to 4x increased stamina recovery and 50% faster attack cooldowns while below 35% health, scaling with the amount of health missing.",-,800,-
bars,Legs,Dash,Quickly dash forward for up to 3 seconds. Must be Sprinting to use. Cannot be interrupted by Knockback. Costs 1 Stamina per second to use.,-,800,20s
bars,Legs,Braced Legs,"Reduces uphill slowdown by 50%, increases downhill speed by 5%, and reduces falling damage by 10%.",-,800,-
bars,Tail,Smash,Wind up this attack for up to 4.5 seconds and inflict damage based on the length of time it's charged for. Reaches a 15 meter Area of Effect distance. Puts you back into quadrupedal stance. Costs 8 Stamina to use.,150,900,12s
bars,Tail,Tail Slam,A tail attack that slams the ground and deals medium damage. Reaches a 5 meter Area of Effect distance. Puts you back into quadrupedal stance. Costs 2.5 Stamina to use.,70,800,4.5s
bars,Tail,Tail Attack,An attack that causes light damage.,20 + 12 Knockback,FREE,4s
bars,Tail,Sweep,Low reaching tail attack that deals medium damage and no knockback.,110,500,7s
bars,Voice,Survival Calls,"Provides a set of abilities: Gorge, Herdsong, Scent Tracker. See 'Details' for more information.",-,800,-
bars,Sub-Voice,Gorge,Call that increases Food and Water intake by 50% within 50 meters for 90 seconds for you and all nearby group members. Costs 8 Stamina to use.,-,-,120s
bars,Sub-Voice,Herdsong,Boosts knockback resistance by 50% for 120 seconds for you and all group members within 50 meters. Costs 5 Stamina to use.,-,-,240s
bars,Sub-Voice,Scent Tracker,Passively tracks the distance to the nearest berry bush within 200 meters.,-,-,-
bars,Voice,Combat Calls,"Provides a set of abilities: Rallying Call, Resilient Cry, Deafening Bellow. See ' Details' for more information.",-,800,-
bars,Sub-Voice,Rallying Call,A call that increases all group members armor by 25% within 50 meters. Costs 8 Stamina to use.,-,-,240s
bars,Sub-Voice,Resilient Cry,Call that increases Bleed and Venom healing rates by 20% within 50 meters for 60 seconds for you and all nearby group members. Costs 8 Stamina to use.,-,-,90s
bars,Sub-Voice,Deafening Bellow,"A call that applies the 'Deaf' status to all dinosaurs within 50 meters. While deaf, you cannot receive any buff or debuff from any vocal abilities. Costs 8 Stamina to use.",-,-,300s
campto,Head,Bite,Causes low damage.,30,FREE,1s
campto,Hide,Thick Scutes,Improves health recovery rate by 20%.,-,800,-
campto,Hide,Second Wind,Gain 150% increased stamina recovery for 8 seconds after receiving a hit in combat.,-,"1,000",8s
campto,Hide,Resilient Scales,Increases bleed and venom healing by 20%.,-,700,-
campto,Legs,Hop Away,Rapidly hop forwards at a speed of 1700 to escape danger for up to 15 seconds. Uses 1 Stamina per second.,-,400,8s
campto,Voice,Alert Call,Group members deal 20% increased damage with their next attack when out of combat for 60 seconds. Costs 20 Stamina to use.,0.2,700,420s
cera,Passives,Cracked Scutes,"Build up 1 stack of Cracked Scutes every 30 seconds, for a maximum of 3 stacks, even through combat (even though it doesn't say that). Reduces incoming damage by 15% per active stack. Incoming attacks will remove 1 stack per hit. While a stack is active, attackers receive reflect damage when hitting certain areas of the body.",-,FREE,-
cera,Generic,Carcass Tracker,Passively tracks dinosaur carcasses within 250 meters. Also gain 25% increased eating speed.,-,"1,000",-
cera,Head,Swerve,A bite attack that rapidly turns to face behind you and change your direction. Costs 7.5 Stamina to use.,80 + Turn 180°,600,8s
cera,Head,Rapid Strikes,"A fast attack that causes more damage with each consecutive hit, dealing 100% increased damage within 75 meters of a player's corpse. Stacks up to 5 times, stacks last 30 seconds.",4-44 (8-88 near corpse),500,1s
cera,Head,Thrash,A powerful bite attack that also causes recoil damage.,90 + 50% Recoil,800,15s
cera,Head,Charged Bite,Charge up the attack and inflict Fracture based on how long it's held. This attack cannot trigger a full Bone Break. Costs 7 Stamina to use.,45 + 18 Fracture,700,5s
cera,Head,Bite,Causes medium damage.,40,FREE,1s
cera,Senses,Bulwark,"Deal 10% reduced damage, but gain 50% increased health recovery rate.",-10%,800,-
cera,Senses,Berserker,"When low on health, your attacks cooldown 25% faster and deal 30% more damage.",0.3,800,-
cera,Senses,All For One,"Gain 8% increased damage, which stacks up to 5 times, and 10% increased health recovery rate when in a group with other carnivores of 3 token size or less. Health recovery does not stack.",+8% per stack,"1,000",-
cera,Hide,Solid Frame,"Gain 75 increased maximum health, but lose 5% status effect heal.",-,800,-
cera,Hide,Robust Jaws,"Deal 25% more damage, but lose 10% maximum health.",0.25,800,-
cera,Hide,Regeneration,"Gain 25% increased health recovery from healing buffs. Increases Bleed heal, Fracture heal, Poison heal, Venom heal, and Toxin heal by 20%.",-,800,-
cera,Hide,Carrion Feeder,"While near a player's corpse, all enemies within 75 meters of you deal 15% reduced damage. Stacks up to 3 times.",-15% per stack,800,-
cera,Legs,Torment,"While near a player body, enemies within 75 meters have 10% reduced armor. Does not stack.",-,800,-
cera,Back Limb,Taunt,"Activate to begin channeling a Taunt. While Taunt is active, it reduces your incoming damage by 40% and slows enemies within 50 meters by 10%. The Taunt will cancel if you reach 30% health or less, and automatically trigger a rapid spin to face you behind and grants 5% increased speed for 10 seconds. Cannot run while channeling.",-,800,10s
cera,Back Limb,Shove,"Lunge forward, knocking back enemies. Costs 5 Stamina to use.",20 + Knockback,500,5s
cera,Back Limb,Lunge,"A lunging bite attack that jumps forward and then back, dealing 100% increased damage within 75 meters of a player's corpse. Costs 2.5 Stamina to use.",60 (120 near a corpse),300,10s
cera,Tail,Juke,Rapidly turn to face behind you and change your direction. Costs 2.5 Stamina to use.,-,500,5s
conc,Passives,Slippery Scales,"While wet, your bucking is 25% stronger.",-,FREE,-
conc,Head,Riptide,Causes medium damage. Deals 65% increased damage if the target is wet.,45 (74.25 if target is wet),450,3s
conc,Head,Rend,A delayed attack that deals medium Bleed and medium damage. Can trigger 'Bloodthirsty' if equipped. Costs 5 Stamina to use.,80 + 0.5 Bleed,450,10s
conc,Head,Bite,Causes medium damage.,50,FREE,1s
conc,Senses,Nictitating Membrane,"Gain the ability to dive underwater and increases water turning and acceleration by 25%, and water movement speed by 75%. See clearer when underwater, during fog, and during rainstorms. Also passively tracks the distance to the nearest fish within 100 meters.",-,450,-
conc,Senses,Frenzy,50% increased stamina recovery and 100% increased acceleration when within 50 meters of a bleeding creature.,-,"1,000",-
conc,Senses,Bloodthirsty,"While landing an attack that deals bleed, heal 15% health over 60 seconds. 50% less effective when Bleeding. Works through combat timer. Can be triggered only once every 60 seconds.",-,"1,200",60s
conc,Senses,All For One,"Gain 8% increased damage, which stacks up to 5 times, and 10% increased health recovery rate when in a group with other carnivores of 3 token size or less. Health recovery does not stack.",+8% per stack,"1,000",-
conc,Front Limb,Slash,A claw attack that causes bleed. 35% increased Bleed if underwater and 35% increased damage if on land. Can trigger 'Bloodthirsty' if equipped.,"45 + 0.35 Bleed (60.75 damage on land, 0.4725 Bleed in water)",700,6s
conc,Front Limb,Claw Attack,A claw attack that causes low damage and high bleed. Can trigger 'Bloodthirsty' if equipped.,35 + 0.4 Bleed,300,3s
conc,Hide,Streamlined,15% increased swim speed. 50% increased health recovery rate while diving.,-,900,-
conc,Hide,Quilled Hide,Increases Bleed damage from your attacks by 50% when you are below 50% health.,+50% Bleed,800,-
conc,Hide,Bright Sail,"Increases your armor up to 15% and your bleed damage up to 20% if inflicted with Bleed, Venom, Toxin, Poison, or Fracture. Scales based on status amount. Does not stack from multiple status effects.",up to +20% Bleed,900,-
conc,Back Limb,Surge,"Increases oxygen capacity. Activate while swimming to dart forward and bite. Hitting a target reduces their swim speed by 15% for 15 seconds, up to 3 stacks, and tears off a meat chunk. Eating it restores 40% stamina and 40% oxygen. Can be triggered only once every 30 seconds. Costs 2.5 Stamina to use.",60,"1,200",15s
conc,Back Limb,Ripping Kick,"Lunges forward, dealing medium bleed damage. Can trigger 'Bloodthirsty' if equipped. Costs 5 Stamina to use.",40 + 0.4 Bleed,500,4.5s
conc,Voice,Snarl,Reduces Bleed healing for all creatures not in your group within 50 meters by 35% for 60 seconds. Costs 5 Stamina to use.,-,500,210s
conc,Voice,Muffled Roar,"Increases swim speed by 30%, improves swim turning by 25%, and increases all status effect healing by 50% for 3 minutes. Can only be used while diving, and will be interrupted if you exit water. This ability can be used if Deafened. Costs 10 Stamina to use.",-,700,180s
conc,Voice,Fishy Breath,Applies your most recent buff acquired from eating a fish to all creatures in your group within 50 meters. Only usable while in a group. Costs 25 Stamina to use.,-,300,600s
dasp,Generic,Bite,Causes medium damage.,60,FREE,1.5s
dasp,Head,Shatter,A rapid triple bite that deals increasing Fracture damage for each additional hit you land. This attack cannot trigger a full bone break. Costs 8 Stamina to use.,20 + 5.25 Fracture (+25% Fracture with each consecutive landed bite),700,6s
dasp,Head,Heavy Bite,A strong but delayed bite.,90,"1,200",8s
dasp,Head,Bone Snap,Wind up this attack and inflict Fracture based on the length of time it's charged for. Can trigger a Bone Break on the target if they have a high amount of Fracture. Costs 8 Stamina to use.,75 + 20 Fracture,900,6s
dasp,Head,Piercing Bite,"Deals a high amount of raw damage, ignoring the armor and weight of the target.",75 Piercing,500,20s
dasp,Senses,Tyrant Ally,"While in a group with other Tyrannosaurs, gain 10% increased armor. Also applies to each Tyrannosaur in your group within 50 meters of you. Stacks up to 2 times.",-,"1,200",-
dasp,Senses,Feral Instincts,Deal 20% increased piercing damage.,+20% on Piercing Bite,700,-
dasp,Senses,Carnage,Increases attack by 30% when within 75 meters of a corpse.,0.3,"1,000",-
dasp,Senses,Blunt Teeth,Deal 15% more Fracture damage. Bone Snap now uses half as much stamina. Deal 10% increased damage while a creature not in your group has a fracture or bone break within 50 meters.,-,700,-
dasp,Hide,Thin Scutes,Receive 12.5% reduced damage from lighter opponents and take 6.25% increased damage from heavier opponents. Increases health recovery rate by 15% and doubles bucking stamina drain. Increases bleed and venom healing by 15%.,-12.5%/+6.25%,700,-
dasp,Hide,Dense Scales,Receive 12.5% reduced damage from heavier opponents and take 6.25% increased damage from lighter opponents. Increases health recovery rate by 15%. Increases bleed and venom healing by 15%.,-12.5%/+6.25%,700,-
dasp,Legs,Strong Legs,Take 60% less knockback and 15% increased bone break healing.,-,"1,100",-
dasp,Legs,Skydiver,"Take 50% reduced fall damage. Functionally, increases the fall speed at which you die by 50%.",-,800,-
dasp,Legs,Long Distance Runner,Reduces running stamina drain by 15%.,-,"1,100",-
dasp,Tail,Tail Attack,An attack that causes light damage and causes knockback.,15 + 6 Knockback,100,4s
dasp,Voice,Tyrant Roar,Increases the damage of all Tyrannosaurs in your group by 15% within 30 meters for 80 seconds. Able to stack up to 2 times. Can be used solo. Costs 15 Stamina to use.,+15% per stack,700,200s
dasp,Voice,Shattering Cry,"Reduces Fracture healing for all creatures not in your group within 50 meters by 35% for 120 seconds. If target is fully Bone Broken when the debuff is applied, they will retain 60% of Fracture after they finished healing. Costs 10 Stamina to use.",-,500,180s
dasp,Voice,Rampage,"Deal up to 50% increased damage for 30 seconds when below 50% health, scaling with the amount of health missing. This ability can be used if Deafened. Costs 10 Stamina to use.",up to +50%,700,180s
duck,Passives,Ironclad,10% increased armor.,-,FREE,-
duck,Generic,Nictitating Membrane,"See clearer when underwater, during fog, and during rainstorms. Also passively tracks the distance to the nearest fish within 100 meters.",-,FREE,-
duck,Head,Wring Out,Instantly make yourself dry. Grants Wetness Immunity for 60 seconds. Removed if you enter water.,-,800,75s
duck,Senses,Light Feathers,15% reduced sprinting stamina cost to 1.887 (53 seconds) from 2.22 (45 seconds) while dry.,-,900,-
duck,Senses,Drenched Blows,Deal 20% increased damage to wet targets.,0.2,700,-
duck,Front Limb,Riptide,"A claw attack that applies Bleed. Base damage is increased by 50% more damage if you are wet, and an additional up to 50% if the target is wet. This attack cools down faster while you are wet.","50 (75 + 0.5 Bleed if one condition is met, 100 + 0.5 Bleed if both conditions are met)",900,20s (10s when wet)
duck,Front Limb,Hemorrhage Claw,"A claw attack that deals low damage and low bleed. Upon striking a target, it applies 1 stack of 'Hemorrhage' that lowers bleed heal of the target by 20% and increases bleed damage for 60 seconds. Stacks up to 2 times.",40 + 0.5 Bleed,400,16s
duck,Front Limb,Claw Frenzy,"Charge forward, attacking with up to 8 claw swings. Deals 50% more damage if the target is dry. This attack consumes 50% less stamina if you are dry. You are immune to knockback for the duration of the charge. Only usable on land. Costs 10 Stamina to use (5 Stamina to use when dry).","12-42 + 5 Knockback (228 with all hits, 342 when target is dry)",500,20s
duck,Front Limb,Claw Attack,"A claw attack that applies bleed. This attack's base damage is increased by 50% while you are dry, plus an additional 50% if the target is also dry.","35 + 0.4 Bleed (52.5 if one condition is met, 70 if both conditions are met)",FREE,1.5s
duck,Front Limb,Backhand,"A directional claw attack that deals low damage and causes knockback. If used while swimming, it splashes all targets in front of you within 25 meters, making them wet.",50 + Knockback,"1,000",4s
duck,Hide,Waterlogged,"Gain 20% increased swimming speed and dry out slower while on land. Additionally, you will now drain the stamina of creatures latched or clamped onto you by up to 100% based on your wetness amount, and become up to 1,000 combat weight heavier when wet.",-,800,-
duck,Hide,Parched Scales,Increases stamina recovery by 15% and dry faster on land. Sprint up to 10% faster (from 800 to 880) when dry on land.,-,800,-
duck,Legs,Webbed Feet,15% reduced fast swimming stamina drain.,-,800,-
duck,Legs,Burly,Increases stamina regeneration by 10% and Fracture healing by 20%.,-,800,-
duck,Legs,Braced Legs,"While dry, reduces uphill slowdown by 50%, increases downhill speed by 5%, and reduces falling damage by 10%.",-,"1,100",-
duck,Tail,Water Dodge,Activate to quickly dodge while swimming or diving. The direction of the dodge is based upon your movement. Costs 8 Stamina to use.,-,100,10s
duck,Tail,Tail Attack,Causes knockback.,15 + 12 Knockback,200,4s
duck,Tail,Juke,Rapidly turn to face behind you and change your direction. Costs 8 Stamina to use.,-,700,10s
duck,Voice,Water Spout,"Spray water in an area 40 meters around you, draining your thirst by 15% and making yourself and all enemies nearby wet. Cannot be used underwater. This ability can be used if Deafened.",-,500,30s
duck,Voice,Murder Goose,"Removes all knockback from your attacks, but increases your attack damage by 50% for 30 seconds. This ability can be used if Deafened. Costs 8 Stamina to use.",0.5,900,180s
duck,Voice,Hiss,Reduces incoming damage by 15% for 60 seconds. Costs 8 Stamina to use.,-15%,100,300s
duck,Voice,Goose Honk,Increase knockback by 50% for your attacks for 60 seconds. Costs 8 Stamina to use.,-,300,120s
chicken,Passives,Double Jump,Able to jump again mid-air. Only usable for the first 2 seconds after leaving the ground.,-,FREE,Until landed
chicken,Passives,Lucky Feather,"Survive one fatal attack if you have more than 40% health. It will bring you to a minimum of 200 health and 50 stamina and grants 10 seconds of immunity to all damage. While immune, you cannot deal any damage. Can only activate once every 5 minutes.",-,FREE,300s
chicken,Passives,Strong Grip,Gain 200% increased armor for 5 seconds. Must be latched to activate. Buff is decaying over time.,-,FREE,-
chicken,Generic,Slicer,"A bite that deals low damage, but tears meat from the target. Eating the torn meat restores 5 health per second (2.5 health per second if bleeding) for 20 seconds, maximum once per 60 seconds. This meat cannot be dropped.",20 (-50% latched),400,5s (60s for meat part)
chicken,Head,Raptor Strikes,"A quick attack that increases in power with each hit. Deals increased damage while latched. Stacks up to 5 times, each stack increasing damage by +20%, stacks last 30 seconds.",6-42 (-25% latched),500,1s
chicken,Head,Bite,Causes medium damage.,50 (-50% latched),FREE,1s
chicken,Senses,Pack Hunter,Increased health recovery by 25% while equipped. Buff all Raptors in group when 2 or more Deinonychus with Pack Hunter are within 75 meters: 2 Pack Hunters: 20% increased damage. 3 Pack Hunters: 25% decreased pounce stamina drain.,-,800,-
chicken,Senses,On Alert,"After standing still for 10 seconds, activate this ability to look around a 200 meter range. Footsteps by other players will appear in a radius on the player’s UI, showing their direction.",-,700,-
chicken,Senses,Escape Artist,Move 20% faster for 30 seconds after ripping a meat chunk with Slicer.,-,300,-
chicken,Hide,Static Cling,Stamina drains 50% slower while latched.,-,400,-
chicken,Hide,Meat Shield,"When pounced on a group member, redirect most damage they would receive to yourself. You are now immune to Knockback when using Pounce and while latched.",TBD,800,-
