Dino ID,Name,Main Dino Image,2nd Image,Diet,Health,Armor,Sprint Time,Combat Weight,Can Clamp Weight Up To,Clampable By,Group Size,Subspecies,Damage,Defense,Recovery,Land Speed,Water Speed,Survivability,Build URL
dasp,Daspletosaurus,https://static.wikia.nocookie.net/path-of-titans/images/f/f3/DaspletoRoaring.jpg,https://static.wikia.nocookie.net/path-of-titans/images/0/02/DaspTLC1.jpeg,Carnivore,600,1,1.31,3500,0,Tylo (Wide Gap),3,"Torosus: +25% Knockback Resistance
Profundis: +10% Fracture Damage
Horneri: +3% Attack Damage",★★★★,★★★,★★,★★★,★,★★★,https://dinometa.gg/dinos/daspletosaurus
duck,Deinocheirus,https://static.wikia.nocookie.net/path-of-titans/images/4/49/DeinocheirusSwampWalk.png,https://static.wikia.nocookie.net/path-of-titans/images/c/cb/DuckTLC1.jpeg,Herbivore,900,1.1,0.45,4500,0,Immune,5,"Mirificus: +25% Venom and Bleed Healing While Dry
Grandis: +10% Health Recovery
Hirsuta: +5% Damage While Wet",★★★,★★★★,★,★★,★★★★★,★★★,https://dinometa.gg/dinos/deinocheirus
chicken,Deinonychus,https://static.wikia.nocookie.net/path-of-titans/images/c/cb/DeinonychusThumbnail.jpg,https://cdn.alderongames.wiki/pot-wiki/master/Deinon_Bluejay.webp,Carnivore,500,1,3.2,800,0,"Hatz, Sarco, Tylo, Rex",1,"Antirrhopus: +10% Health Recovery
Apareonus: +50% Acceleration Speed
Jayensis: +25% Jump Height",★,★,★★★★★,★★★★★,★,★★★★★,https://dinometa.gg/dinos/deinonychus
eo,Eotriceratops,https://static.wikia.nocookie.net/path-of-titans/images/7/76/EotrikeScreenshot2.jpg,https://static.wikia.nocookie.net/path-of-titans/images/f/ff/EoTLC1.jpeg,Herbivore,800,1.1,0.45,5500,0,Immune,5,"Xerinsularis: +3% Attack Damage
Farinus: +10% Fracture Healing
Aculeatus: +10% Stamina Recovery",★★★★,★★★★,★★,★,★,★★★★,https://dinometa.gg/dinos/eotriceratops
dolphin,Eurhinosaurus,https://static.wikia.nocookie.net/path-of-titans/images/7/78/Image.jpg,https://cdn.alderongames.wiki/pot-wiki/master/Eur_Kuhli.webp,Carnivore,600,1,1.03,3000,0,"Sarco, Tylo",2,"Longirostris: +3% Attack Damage
Communis: +5% Armor
Pelagicus: +10% Stamina Recovery",★,★★,★★★,,★★★★★,★★★,https://dinometa.gg/dinos/eurhinosaurus
hatz,Hatzegopteryx,https://static.wikia.nocookie.net/path-of-titans/images/8/80/Hatzegopteryx_Path_of_Titans.png,https://cdn.alderongames.wiki/pot-wiki/master/Hatz_Backer.webp,Carnivore,600,1,"0.5s Air 1.03s Land",3100,2100,Tylo,3,"Thambema: +10% Health Recovery
Philadelphiae: +10% Status Healing
Gigantea: +3% Attack Damage",★★,★,★★,★★★,★★,★★★★,https://dinometa.gg/dinos/hatzegopteryx
iggy,Iguanodon,https://static.wikia.nocookie.net/path-of-titans/images/b/bd/IguanodonLookaround2.png,https://static.wikia.nocookie.net/path-of-titans/images/b/b4/IguanodonSunset3.png,Herbivore,850,1,1.03,4000,0,Immune,4,"Bernissartensis: +10% Health Recovery
Galvensis: +10% Bipedal Armor
Anglicus: +10% Quadrupedal Damage",★★★,★,★★★,★★★,★★★,★★★,https://dinometa.gg/dinos/iguanodon
kai,Kaiwhekea,https://static.wikia.nocookie.net/path-of-titans/images/4/48/KaiwhekeaFullBody.png,https://cdn.alderongames.wiki/pot-wiki/master/KaiTectonic.jpg,Carnivore,750,1,1.03,3500,0,Tylo (Wide Gap),3,"Katiki: +10% Health Recovery
Grandis: +5% Armor
Tenui: +10% Venom and Bleed Healing",★,★★,★★★,,★★★★★,★★★,https://dinometa.gg/dinos/kaiwhekea
kentro,Kentrosaurus,https://static.wikia.nocookie.net/path-of-titans/images/f/f0/KentroRunningForest.png,https://static.wikia.nocookie.net/path-of-titans/images/8/85/KentTLC1.jpeg,Herbivore,575,1,2.23,2500,0,"Sarco, Tylo, Rex",2,"Aethiopicus: +5% Bleed Damage
Multiscornus: +10% Stamina Recovery
Parvusplectrum: +20% Spikes Damage",★★★★★,★★★,★★,★★★,★,★★★,https://dinometa.gg/dinos/kentrosaurus
lamb,Lambeosaurus,https://static.wikia.nocookie.net/path-of-titans/images/e/e7/Lambeo_Skin_%2814%29.jpg,https://static.wikia.nocookie.net/path-of-titans/images/b/b6/LambTLC1.jpeg,Herbivore,525,1,2.05,3500,0,Tylo (Wide Gap),3,"Paucidens: +3% Health Recovery
Lambei: +10% Swim Speed
Magnicristatus: +10% Stamina Recovery",★,★★★★★,★★★,★★★,★★★★,★★★★,https://dinometa.gg/dinos/lambeosaurus
laten,Latenivenatrix,https://static.wikia.nocookie.net/path-of-titans/images/0/07/LatenDuoLog.png,https://static.wikia.nocookie.net/path-of-titans/images/1/12/LatTLC1.jpeg,Carnivore,400,1,4.1,1400,0,"Hatz, Sarco, Tylo, Rex",1,"Mcmasterae: +10% Damage At Night
Inequalis: +25% Jump Height
Formosus: +10% Stamina Recovery",★★,★★,★★★★,★★★★★,★,★★★★,https://dinometa.gg/dinos/latenivenatrix
meg,Megalania,https://static.wikia.nocookie.net/path-of-titans/images/0/04/MegalaniaPreview2.jpg,https://static.wikia.nocookie.net/path-of-titans/images/6/60/MegalaniaStandUpSquare.png,Carnivore,575,1,2.23,2400,0,"Sarco, Tylo, Rex",2,"Priscus: +25% Jump Height
Varius: +10% Swim Speed
Teiidae: +5% Venom Damage",★★,★★,★★,★★★★,★,★★★★,https://dinometa.gg/dinos/megalania
metri,Metriacanthosaurus,https://static.wikia.nocookie.net/path-of-titans/images/a/a4/MetriThumbnail.jpg,https://cdn.alderongames.wiki/pot-wiki/master/RemodelMetriPoisonDart.jpg,Carnivore,500,1,2.05,3100,0,Tylo,3,"Parkeri: +10% Vocal Effect Duration
Circumspectus: +25% Nighttime Health Recovery
Latronemus: +15% Nighttime Stamina Recovery",★★,★★,★★,★★★★,★,★★★★,https://dinometa.gg/dinos/metriacanthosaurus
mira,Miragaia,https://static.wikia.nocookie.net/path-of-titans/images/3/35/Miragaia_.jpg,https://static.wikia.nocookie.net/path-of-titans/images/3/35/Miragaia_.jpg,Herbivore,650,1,1.4,3500,0,Tylo (Wide Gap),3,"Longicollum: +10% Stamina Recovery
Longispinus: +20% Spikes Damage
Laminamlata: +10% Health Recovery",★★★★★,★★★,★★,★★★,★,★★★,https://dinometa.gg/dinos/miragaia
pachy,Pachycephelosaurus,https://static.wikia.nocookie.net/path-of-titans/images/f/f8/Pachy.png,https://cdn.alderongames.wiki/pot-wiki/master/PachySerpent.jpg,Herbivore,500,1,2.47,2000,0,"Hatz, Sarco, Tylo, Rex",2,"Wyomingensis: +15% Attack Knockback
Spinifer: +3% Attack Damage
Hogwartsia: +25% Jump Height",★★,★★,★★★,★★★★,★,★★★★★,https://dinometa.gg/dinos/pachycephalosaurus
pycno,Pycnonemosaurus,https://static.wikia.nocookie.net/path-of-titans/images/2/26/Pycno.png,https://static.wikia.nocookie.net/path-of-titans/images/4/47/PycTLC1.jpeg,Carnivore,550,1,2.23,3500,0,Tylo (Wide Gap),3,"Nevesi: +10% Stamina Recovery
Taurinus: +3% Attack Damage
Imperator: +15% Knockback",★★★,★★,★★,★★★★★,★,★★★★,https://dinometa.gg/dinos/pycnonemosaurus
ramp,Rhamphorhynchus,https://static.wikia.nocookie.net/path-of-titans/images/9/99/RhampyImage6.jpg,https://static.wikia.nocookie.net/path-of-titans/images/0/01/RampTLC1.jpeg,Carnivore,400,1,"3.2s Air 2.13s Land",500,0,"Hatz, Sarco, Tylo, Rex",1,"Longicaudis: +10% Faster Cooldowns
Etchesi: x2 Health Stealing
Muensteri: +5% Stamina Recovery",★,★,★★★★,★,★★,★★★★,https://dinometa.gg/dinos/rhamphorhynchus
sarco,Sarcosuchus,https://static.wikia.nocookie.net/path-of-titans/images/1/1b/CrocSwim2.jpg,https://static.wikia.nocookie.net/path-of-titans/images/f/fe/SarcTLC1.jpeg,Carnivore,575,1,0.4,4500,3000,Immune,4,"Imperator: +3% Attack Damage
Palustribus: +5% Armor
Hartti: +20% Swim Stamina",★★★★★,★★★,★,★★,★★★★★,★★★,https://dinometa.gg/dinos/sarcosuchus
spino,Spinosaurus,https://static.wikia.nocookie.net/path-of-titans/images/4/48/SpinoWalkingLakeside2.png,https://static.wikia.nocookie.net/path-of-titans/images/4/4d/SpinoTLC1.jpeg,Carnivore,950,1.1,0.45,5500,0,Immune,5,"Aegyptiacus: +10% Health Recovery
Paxillus: +20% Swim Stamina
Shanksius: +5% Armor",★★★★★,★★★,★★,★,★★★★★,★★★,https://dinometa.gg/dinos/spinosaurus
stego,Stegosaurus,https://static.wikia.nocookie.net/path-of-titans/images/0/0e/StegoGrassyHill.png,https://cdn.alderongames.wiki/pot-wiki/master/Stego_Skin_(4).jpg,Herbivore,650,1,1.03,5000,0,Immune,4,"Stenops: +3% Damage
Ungulatus: +5% Bleed Damage
Sulcatus: +5% Health",★★★★,★★★,★★,★★,★,★★★,https://dinometa.gg/dinos/stegosaurus
struthi,Struthiomimus,https://static.wikia.nocookie.net/path-of-titans/images/b/b7/StruthiForest2.png,https://static.wikia.nocookie.net/path-of-titans/images/1/16/StruthTLC1.jpeg,Herbivore,450,1,5.23,1400,0,"Hatz, Sarco, Tylo, Rex",1,"Altus: +50% Acceleration Speed
Plumas: +10% Stamina Recovery
Calvitius: +25% Jump Height",★,★,★★,★★★★★,★,★★★★★,https://dinometa.gg/dinos/struthiomimus
sty,Styracosaurus,https://static.wikia.nocookie.net/path-of-titans/images/0/05/StyracoSunsetWalking.png,https://static.wikia.nocookie.net/path-of-titans/images/d/d6/StyTLC1.jpeg,Herbivore,600,1,2.05,2200,0,"Sarco, Tylo, Rex",2,"Albertensis: x2 Frill Damage
Procurvicornis: +10% Stamina Recovery
Ancellae: +3% Attack Damage",★★★★,★★,★★,★★★★,★,★★,https://dinometa.gg/dinos/styracosaurus
sucho,Suchomimus,https://static.wikia.nocookie.net/path-of-titans/images/1/1c/SuchoLake.png,https://static.wikia.nocookie.net/path-of-titans/images/5/52/SuchTLC1.jpeg,Carnivore,700,1,1.03,4500,0,Immune,4,"Tenerensis: +5% Damage While Wet
Lapparenti: +25% Venom and Bleed Healing While Dry
Anguilla: +10% Stamina Recovery",★★★,★★★,★★,★★,★★★★★,★★★,https://dinometa.gg/dinos/suchomimus
thal,Thalassodromeus,https://static.wikia.nocookie.net/path-of-titans/images/8/8a/ThalassoRo.png,https://cdn.alderongames.wiki/pot-wiki/master/ThalaFringed.jpg,Carnivore,525,1,"2.34s Air 2.23s Land",1900,0,"Hatz, Sarco, Tylo, Rex",2,"Sethi: +10% Grounded Damage
Cuneumi: +50% Ground Acceleration and Jump Height
Robustus: +10% Flight Stamina",★★,★,★★,★★★,★★,★★★★,https://dinometa.gg/dinos/thalassodromeus
tylo,Tylosaurus,https://static.wikia.nocookie.net/path-of-titans/images/1/17/TylosaurusFeature4.jpg,https://cdn.alderongames.wiki/pot-wiki/master/tylo_gulfweed_skin.webp,Carnivore,950,1,1.03,5000,3200/3900,Immune,5,"Proriger: +10% Health Recovery
Kansasensis: +10% Venom and Bleed Healing
Nepaeolicus: +10% Swim Stamina",★★★★,★★★,★★,,★★★,★★,https://dinometa.gg/dinos/tylosaurus
t-rex,Tyrannosaurus,https://static.wikia.nocookie.net/path-of-titans/images/f/fc/RexDefault.jpg,https://static.wikia.nocookie.net/path-of-titans/images/0/01/RexTLC1.jpeg,Carnivore,800,1.1,0.45,5500,2700,Immune,5,"Rex: +25% Knockback Resistance
Bataar: +3% Attack Damage
Sanguis: +10% Fracture Damage",★★★★★,★★★★,★,★,★,★★,https://dinometa.gg/dinos/tyrannosaurus
titan,Tyrannotitan,https://static.wikia.nocookie.net/path-of-titans/images/6/69/Tyrannotitan_Path_of_Titans.png,https://static.wikia.nocookie.net/path-of-titans/images/6/69/Tyrannotitan_Path_of_Titans.png,Carnivore,800,1.1,1.03,5500,0,Immune,5,"Chubutensis: +10% Venom and Bleed Healing
Carolinii: +5% Bleed Damage
Grandis: +10% Health Recovery",★★★★,★★★★,★★,★★,★,★★★,https://dinometa.gg/dinos/tyrannotitan
